id,product_id,sku,color,url,gallery_photos,technical_photos,source
372,87,OM-1150 EXL - 02,Standard,https://www.omniafloor.it/en/collections/ecco/,"[""https://www.omniafloor.it/catalog/ecco/colors/natural_light_oak/upside.webp"", ""https://www.omniafloor.it/catalog/ecco/colors/natural_light_oak/room.webp""]",[],omnia
373,88,OM-986-6,Standard,https://www.omniafloor.it/en/collections/ecco/,"[""https://www.omniafloor.it/catalog/ecco/colors/natural_bleached_oak/upside.webp"", ""https://www.omniafloor.it/catalog/ecco/colors/natural_bleached_oak/room.webp""]",[],omnia
374,89,OM-1150 EXL - 01,Standard,https://www.omniafloor.it/en/collections/ecco/,"[""https://www.omniafloor.it/catalog/ecco/colors/natural_oak/upside.webp"", ""https://www.omniafloor.it/catalog/ecco/colors/natural_oak/room.webp""]",[],omnia
375,90,OM-3651- 43A,Standard,https://www.omniafloor.it/en/collections/ecco/,"[""https://www.omniafloor.it/catalog/ecco/colors/natural_grey_oak/upside.webp"", ""https://www.omniafloor.it/catalog/ecco/colors/natural_grey_oak/room.webp""]",[],omnia
376,91,OM-2072,Plank,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_mielato/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_mielato/room.webp""]",[],omnia
377,91,OM-2072H,Herringbone 90°,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_mielato/upsideH.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_mielato/room.webp""]",[],omnia
378,92,OM-2077,Plank,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_heritage/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_heritage/room.webp""]",[],omnia
379,92,OM-2077H,Herringbone 90°,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_heritage/upsideH.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_heritage/room.webp""]",[],omnia
380,93,OM-2078,Plank,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_ambrato/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_ambrato/room.webp""]",[],omnia
381,93,OM-2078H,Herringbone 90°,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_ambrato/upsideH.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_ambrato/room.webp""]",[],omnia
382,94,OM-2075,Plank,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_nuvola/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_nuvola/room.webp""]",[],omnia
383,94,OM-2075H,Herringbone 90°,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_nuvola/upsideH.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_nuvola/room.webp""]",[],omnia
384,95,OM-2074,Plank,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_seta/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_seta/room.webp""]",[],omnia
385,95,OM-2074H,Herringbone 90°,https://www.omniafloor.it/en/collections/omnia-premium/,"[""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_seta/upsideH.webp"", ""https://www.omniafloor.it/catalog/omnia_premium/colors/rovere_seta/room.webp""]",[],omnia
386,96,OM-2470,Standard,https://www.omniafloor.it/en/collections/omnia-standard/,"[""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_perla/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_perla/room.webp""]",[],omnia
387,97,OM-2480,Standard,https://www.omniafloor.it/en/collections/omnia-standard/,"[""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_sabbia/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_sabbia/room.webp""]",[],omnia
388,98,OM-2472,Standard,https://www.omniafloor.it/en/collections/omnia-standard/,"[""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_miele/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_miele/room.webp""]",[],omnia
389,99,OM-2481,Standard,https://www.omniafloor.it/en/collections/omnia-standard/,"[""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_white/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_white/room.webp""]",[],omnia
390,100,OM-2479,Standard,https://www.omniafloor.it/en/collections/omnia-standard/,"[""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_duna/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard/colors/rovere_duna/room.webp""]",[],omnia
391,101,OM-9000,Standard,https://www.omniafloor.it/en/collections/jangal/,"[""https://www.omniafloor.it/catalog/jangal/colors/naturale/upside.webp"", ""https://www.omniafloor.it/catalog/jangal/colors/naturale/room.webp""]",[],omnia
392,102,OM-9001,Standard,https://www.omniafloor.it/en/collections/jangal/,"[""https://www.omniafloor.it/catalog/jangal/colors/miele/upside.webp"", ""https://www.omniafloor.it/catalog/jangal/colors/miele/room.webp""]",[],omnia
393,103,OM-9002,Standard,https://www.omniafloor.it/en/collections/jangal/,"[""https://www.omniafloor.it/catalog/jangal/colors/dorato/upside.webp"", ""https://www.omniafloor.it/catalog/jangal/colors/dorato/room.webp""]",[],omnia
394,104,OM-9003,Standard,https://www.omniafloor.it/en/collections/jangal/,"[""https://www.omniafloor.it/catalog/jangal/colors/spiga/upside.webp"", ""https://www.omniafloor.it/catalog/jangal/colors/spiga/room.webp""]",[],omnia
395,105,OM-9004,Standard,https://www.omniafloor.it/en/collections/jangal/,"[""https://www.omniafloor.it/catalog/jangal/colors/terra/upside.webp"", ""https://www.omniafloor.it/catalog/jangal/colors/terra/room.webp""]",[],omnia
396,106,OM-2150,Standard,https://www.omniafloor.it/en/collections/omnia-standard-tiles/,"[""https://www.omniafloor.it/catalog/omnia_standard_tiles/colors/concrete_stone/upside.webp"", ""https://www.omniafloor.it/catalog/omnia_standard_tiles/colors/concrete_stone/room.webp""]",[],omnia
