id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
87,Natural Light Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
88,Natural Bleached Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
89,Natural Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
90,Natural Grey Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
91,Rovere Mielato,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
92,Rovere Heritage,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
93,Rovere Ambrato,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
94,Rovere Nuvola,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
95,Rovere Seta,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
96,Rovere Perla,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
97,Rovere Sabbia,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
98,Rovere Miele,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
99,Rovere White,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
100,Rovere Duna,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
101,Naturale,"JANGAL Straw Floor is an eco-friendly rice straw flooring with Deep Brushed finish and UV technology for natural, sustainable design

JANGAL Straw Floor is an innovative flooring made from rice straw, a natural and renewable resource that combines sustainability with contemporary design

The Deep Brushed structure gives each plank an authentic and tactile texture, while the UV finish ensures resistance and durability over time

Available in various wood-inspired decors, JANGAL Straw Floor is the ideal choice for those seeking an ecological floor without sacrificing elegance and practicality",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
102,Miele,"JANGAL Straw Floor is an eco-friendly rice straw flooring with Deep Brushed finish and UV technology for natural, sustainable design

JANGAL Straw Floor is an innovative flooring made from rice straw, a natural and renewable resource that combines sustainability with contemporary design

The Deep Brushed structure gives each plank an authentic and tactile texture, while the UV finish ensures resistance and durability over time

Available in various wood-inspired decors, JANGAL Straw Floor is the ideal choice for those seeking an ecological floor without sacrificing elegance and practicality",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
103,Dorato,"JANGAL Straw Floor is an eco-friendly rice straw flooring with Deep Brushed finish and UV technology for natural, sustainable design

JANGAL Straw Floor is an innovative flooring made from rice straw, a natural and renewable resource that combines sustainability with contemporary design

The Deep Brushed structure gives each plank an authentic and tactile texture, while the UV finish ensures resistance and durability over time

Available in various wood-inspired decors, JANGAL Straw Floor is the ideal choice for those seeking an ecological floor without sacrificing elegance and practicality",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
104,Spiga,"JANGAL Straw Floor is an eco-friendly rice straw flooring with Deep Brushed finish and UV technology for natural, sustainable design

JANGAL Straw Floor is an innovative flooring made from rice straw, a natural and renewable resource that combines sustainability with contemporary design

The Deep Brushed structure gives each plank an authentic and tactile texture, while the UV finish ensures resistance and durability over time

Available in various wood-inspired decors, JANGAL Straw Floor is the ideal choice for those seeking an ecological floor without sacrificing elegance and practicality",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
105,Terra,"JANGAL Straw Floor is an eco-friendly rice straw flooring with Deep Brushed finish and UV technology for natural, sustainable design

JANGAL Straw Floor is an innovative flooring made from rice straw, a natural and renewable resource that combines sustainability with contemporary design

The Deep Brushed structure gives each plank an authentic and tactile texture, while the UV finish ensures resistance and durability over time

Available in various wood-inspired decors, JANGAL Straw Floor is the ideal choice for those seeking an ecological floor without sacrificing elegance and practicality",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
106,Concrete Stone,"OMNIA Standard Tiles XL are large-format SPC tiles with stone or marble effect, designed for stability, acoustic comfort, and modern interiors

The Omnia Standard Tile XL collection combines modern design with maximum functionality. The 470x830 mm format enhances spaces with clean, elegant lines, while stone or marble effect surfaces deliver a contemporary and versatile look

Made of SPC with a Rigid Core backing, they ensure high stability, excellent wear resistance, total waterproofing, and superior acoustic comfort thanks to the integrated IXPE underlay

Safe and healthy, they are phthalate-free, with VOCs and formaldehyde not detected. Ideal for residential and commercial environments, they bring together style, technology, and practicality in a single solution",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
107,Black Onyx,"OMNIA Standard Tiles XL are large-format SPC tiles with stone or marble effect, designed for stability, acoustic comfort, and modern interiors

The Omnia Standard Tile XL collection combines modern design with maximum functionality. The 470x830 mm format enhances spaces with clean, elegant lines, while stone or marble effect surfaces deliver a contemporary and versatile look

Made of SPC with a Rigid Core backing, they ensure high stability, excellent wear resistance, total waterproofing, and superior acoustic comfort thanks to the integrated IXPE underlay

Safe and healthy, they are phthalate-free, with VOCs and formaldehyde not detected. Ideal for residential and commercial environments, they bring together style, technology, and practicality in a single solution",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
108,Glacier Gray,"OMNIA Standard Tiles XL are large-format SPC tiles with stone or marble effect, designed for stability, acoustic comfort, and modern interiors

The Omnia Standard Tile XL collection combines modern design with maximum functionality. The 470x830 mm format enhances spaces with clean, elegant lines, while stone or marble effect surfaces deliver a contemporary and versatile look

Made of SPC with a Rigid Core backing, they ensure high stability, excellent wear resistance, total waterproofing, and superior acoustic comfort thanks to the integrated IXPE underlay

Safe and healthy, they are phthalate-free, with VOCs and formaldehyde not detected. Ideal for residential and commercial environments, they bring together style, technology, and practicality in a single solution",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
109,Artic Stone,"OMNIA Standard Tiles XL are large-format SPC tiles with stone or marble effect, designed for stability, acoustic comfort, and modern interiors

The Omnia Standard Tile XL collection combines modern design with maximum functionality. The 470x830 mm format enhances spaces with clean, elegant lines, while stone or marble effect surfaces deliver a contemporary and versatile look

Made of SPC with a Rigid Core backing, they ensure high stability, excellent wear resistance, total waterproofing, and superior acoustic comfort thanks to the integrated IXPE underlay

Safe and healthy, they are phthalate-free, with VOCs and formaldehyde not detected. Ideal for residential and commercial environments, they bring together style, technology, and practicality in a single solution",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
110,Urban Grey,"OMNIA Standard Tiles XL are large-format SPC tiles with stone or marble effect, designed for stability, acoustic comfort, and modern interiors

The Omnia Standard Tile XL collection combines modern design with maximum functionality. The 470x830 mm format enhances spaces with clean, elegant lines, while stone or marble effect surfaces deliver a contemporary and versatile look

Made of SPC with a Rigid Core backing, they ensure high stability, excellent wear resistance, total waterproofing, and superior acoustic comfort thanks to the integrated IXPE underlay

Safe and healthy, they are phthalate-free, with VOCs and formaldehyde not detected. Ideal for residential and commercial environments, they bring together style, technology, and practicality in a single solution",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
111,Urban Stone Grey,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
112,Black Aurum,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
113,White Marble,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
114,Bronze Metal,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
115,Sand Stone Terra Beige,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
116,Absolute Black,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
117,Concrete Grey,"REVESTA offers innovative wall surfaces inspired by natural stone, combining digital technology, sustainability, and timeless elegance

Surfaces inspired by the beauty of matter, shaped by innovation

Behind every tile lies a vision: to craft surfaces that inspire, endure, and respect the environment

REVESTA combines the warmth of natural stone with the precision of digital technology, creating wall surfaces that are versatile, lightweight, and sustainable. Made to last and designed to elevate every space with timeless elegance",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
400,Tasos high,"Elevated chrome design, designed to accompany countertop washbasins. A piece that adds height and visual presence.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,,Countertop,Diameter: 50mm | High: 310mm,,Metal,,,50 mm,,,310 mm,bathco
401,Tasos low,"Low version for washbasin, with chrome finish and essential design. Practical functionality in a compact format.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,,Countertop,Diameter: 50mm | High: 180mm,,Metal,,,50 mm,,,180 mm,bathco
402,Milos high,"High faucet to be combined with countertop basins. Black, gun metal or bronze finish.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,,Countertop,Diameter: 52mm | High: 330mm,,Metal,,,52 mm,,,330 mm,bathco
403,Milos low,"Low spout basin faucet, designed for uncluttered countertops. Finished in chrome, black, gun metal or bronze.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,,Countertop,Diameter: 52mm | High: 200mm,,Metal,,,52 mm,,,200 mm,bathco
404,Athenas medium,Equilibrio entre proporción y practicidad. Un grifo disponible en acero pulido o negro mate que se adapta con versatilidad a distintos lavabos.,sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,,Countertop,Diameter: 40mm | High: 219mm,,Sanitary ware,,,40 mm,,,219 mm,bathco
405,Athenas low,"Compact format for countertop sinks. Available in polished steel or matte black, it combines durability and simplicity with timeless design.",sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,,Countertop,Diameter: 40mm | High: 157mm,,Metal,,,40 mm,,,157 mm,bathco
406,Tasos recessed,Propuesta empotrada con estética minimalista. Una opción que libera la superficie de la encimera y aporta continuidad al espacio.,sanitare,BATERII,Tasos,False,DE PERETE,Bathco,,,Wall,High: 248mm,,Sanitary ware,,,,,,248 mm,bathco
407,Milos recessed,"Clean line recessed lavatory faucet. Chrome, black, gun metal or bronze finish.",sanitare,BATERII,Milos,False,DE PERETE,Bathco,,,Wall,Length: 210mm | Width: 100mm | High: 230mm,,Metal,,,,210 mm,100 mm,230 mm,bathco
408,Athenas recessed,"Una propuesta minimalista que libera la encimera. Disponible en acero pulido, garantiza precisión y un diseño limpio.",sanitare,BATERII,Athenas,False,DE PERETE,Bathco,,,Wall,Length: 130mm | Width: 58mm | High: 223mm,,Sanitary ware,,,,130 mm,58 mm,223 mm,bathco
409,Athenas high,"Diseñado para lavabos de sobre encimera, disponible en acero cepillado o negro mate. Su altura estilizada aporta presencia y modernidad.",sanitare,BATERII,Athenas,False,FREESTANDING,Bathco,,,Floor,Diameter: 50mm | High: 1066mm,,Sanitary ware,,,50 mm,,,1066 mm,bathco
410,Tasos bidet,Low faucet with chrome finish. Its minimalist style brings coherence to any bathroom ensemble.,sanitare,BATERII,Tasos,False,DE BIDEU,Bathco,,,,Diameter: 50mm | High: 154mm,,Metal,,,50 mm,,,154 mm,bathco
411,Tasos shower,Una solución completa de ducha en acabado cromado. Diseño sobrio y contemporáneo que combina funcionalidad y estética en un solo conjunto.,sanitare,BATERII,Tasos,False,DUS,Bathco,,,,Length: 490mm | Width: 200mm | High: 1400mm,,Sanitary ware,,,,490 mm,200 mm,1400 mm,bathco
412,Tasos recessed,Recessed system with clean and discreet lines. An elegant option for modern bathrooms that prioritize integration.,sanitare,BATERII,Tasos,False,DUS,Bathco,,,,Length: 450mm | Width: 380mm | High: 1120mm,,Sanitary ware,,,,450 mm,380 mm,1120 mm,bathco
413,Milos recessed,"Shower set with minimalist lines. Finishes chrome, black, gun metal or bronze.",sanitare,BATERII,Milos,False,DUS,Bathco,,,,Length: 450mm | Width: 380mm | High: 1120mm,,Metal,,,,450 mm,380 mm,1120 mm,bathco
414,Athenas recessed,"Recessed shower system in polished steel or matte black. With ceramic cartridge and hoses included, it offers resistance, precision and refined design.",sanitare,BATERII,Athenas,False,DUS,Bathco,,,,Length: 340mm | Width: 90mm | High: 530mm,,Metal,,,,340 mm,90 mm,530 mm,bathco
415,Athenas bathtub,Grifería de acero para colocación a suelo con rociador. Su diseño estilizado une funcionalidad y sobriedad estética.,sanitare,BATERII,Athenas,False,CADA,Bathco,,,,Diameter: 50mm | High: 925mm,,Sanitary ware,,,50 mm,,,925 mm,bathco
416,Iconos bathtub,"Steel faucet in chrome or matte black finish. It is installed on the floor and incorporates a sprayer, combining contemporary style and functionality in the bathroom.",sanitare,BATERII,Iconos,False,CADA,Bathco,,,,Diameter: 40mm | High: 1060mm,,Metal,,,40 mm,,,1060 mm,bathco
417,Oropesa I,"Collection of sanitary ware in gloss white porcelain, with floor and wall-mounted versions. A functional and elegant set that reinforces the aesthetic continuity in the bathroom.",sanitare,VASE DE TOALETA,Oropesa,False,SUSPENDATE,Bathco,,,Wall,Length: 515mm | Width: 365mm | High: 300mm,,Porcelain,,,,515 mm,365 mm,300 mm,bathco
418,Evora I,"A suspended model in glossy porcelain, with removable thermosetting soft close lid. Balance between clean design and comfort of use.",sanitare,VASE DE TOALETA,Evora,False,SUSPENDATE,Bathco,,,Wall,Length: 520mm | Width: 370mm | High: 345mm,,Porcelain,,,,520 mm,370 mm,345 mm,bathco
419,Antequera I,"The suspended format provides visual lightness and greater amplitude to the space. Available in gloss white, matte white and matte black, it incorporates rimless system, soft close lid and easy extraction. A toilet that combines refined design and practical technology for everyday use.",sanitare,VASE DE TOALETA,Antequera,False,SUSPENDATE,Bathco,,,Wall,Length: 485mm | Width: 355mm | High: 320mm,,Sanitary ware,,,,485 mm,355 mm,320 mm,bathco
420,Oropesa II,"Rimless toilet in gloss porcelain with dual outlet. Includes easy-to-remove soft close lid and wall-mounted design, combining hygiene, comfort and contemporary aesthetics.",sanitare,VASE DE TOALETA,Oropesa,False,CU PICIOR,Bathco,,,Floor,Length: 540mm | Width: 360mm | High: 415mm,,Porcelain,,,,540 mm,360 mm,415 mm,bathco
421,Antequera II,"Un diseño compacto de instalación a suelo, fabricado en porcelana brillo. Incorpora sistema rimless para una limpieza más eficaz y tapa soft close con extracción rápida que facilita el mantenimiento. Una pieza que combina estética sobria y máxima funcionalidad en el baño contemporáneo.",sanitare,VASE DE TOALETA,Antequera,False,CU PICIOR,Bathco,,,Floor,Length: 545mm | Width: 370mm | High: 405mm,,Sanitary ware,,,,545 mm,370 mm,405 mm,bathco
422,Antequera bidet I,"The suspended version provides visual lightness and optimizes space. Made of glossy porcelain, it combines practicality and a clean design that fits in contemporary environments.",sanitare,BIDEURI,Antequera,False,SUSPENDATE,Bathco,,,Wall,Length: 500mm | Width: 360mm | High: 325mm,,Porcelain,,,,500 mm,360 mm,325 mm,bathco
423,Evora bidet I,"Made of glossy porcelain, this wall-hung bidet brings sobriety and functionality. A piece of refined aesthetics that reinforces the comfort of everyday life.",sanitare,BIDEURI,Evora,False,SUSPENDATE,Bathco,,,Wall,Length: 520mm | Width: 370mm | High: 320mm,,Porcelain,,,,520 mm,370 mm,320 mm,bathco
424,Oropesa bidet I,"Collection of sanitary ware in gloss white porcelain, with floor and wall-mounted versions. A functional and elegant set that reinforces the aesthetic continuity in the bathroom.",sanitare,BIDEURI,Oropesa,False,SUSPENDATE,Bathco,,,Wall,Length: 520mm | Width: 355mm | High: 300mm,,Porcelain,,,,520 mm,355 mm,300 mm,bathco
425,Oropesa bidet II,"Collection of sanitary ware in gloss white porcelain, with floor and wall-mounted versions. A functional and elegant set that reinforces the aesthetic continuity in the bathroom.",sanitare,BIDEURI,Oropesa,False,CU PICIOR,Bathco,,,Floor,Length: 540mm | Width: 365mm | High: 415mm,,Porcelain,,,,540 mm,365 mm,415 mm,bathco
426,Antequera bidet II,"Un diseño clásico de instalación a suelo, fabricado en porcelana brillo. Su estética sobria se adapta a cualquier proyecto de baño, ofreciendo funcionalidad y durabilidad con un acabado cuidado.",sanitare,BIDEURI,Antequera,False,CU PICIOR,Bathco,,,Floor,Length: 550mm | Width: 375mm | High: 400mm,,Sanitary ware,,,,550 mm,375 mm,400 mm,bathco
427,Striae oval,"Natural stone washbasin in circular, square, oval and pedestal versions. Available in beige or black, it stands out for the marked texture of its surface and its aesthetic forcefulness.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 580mm | Width: 380mm | High: 150mm,,Natural stone,,,,580 mm,380 mm,150 mm,bathco
